Date,Open,High,Low,Close,Volume,Open Interest,Ticker
20031023,12.62170,12.62170,12.37897,12.37897,15244,13,AABT-200511
20031029,11.94207,11.94207,11.94207,11.94207,1030,12,AABT-200511
20031111,11.99061,11.99061,11.99061,11.99061,206,12,AABT-200511
20031117,12.03916,12.03916,12.03916,12.03916,412,12,AABT-200511
20031118,12.13625,12.13625,12.13625,12.13625,412,13,AABT-200511
20031203,12.13625,12.13625,12.13625,12.13625,206,13,AABT-200511
20031210,12.03916,12.03916,12.03916,12.03916,206,12,AABT-200511
20031211,12.03916,12.03916,11.94207,11.94207,412,12,AABT-200511
20031212,12.33043,12.33043,12.33043,12.33043,1030,13,AABT-200511
20031229,12.62170,12.62170,12.62170,12.62170,206,13,AABT-200511
20040129,12.62170,12.86442,12.62170,12.86442,515,13,AABT-200511
20040202,12.86442,12.86442,12.37897,12.50519,927,13,AABT-200511
20040213,11.99061,11.99061,11.99061,11.99061,515,12,AABT-200511
20040315,11.99061,11.99061,11.99061,11.99061,10815,12,AABT-200511
20040423,12.62170,12.62170,12.62170,12.62170,309,13,AABT-200511
20040428,12.62170,12.62170,12.62170,12.62170,1648,13,AABT-200511
20040504,12.52461,12.52461,12.52461,12.52461,206,13,AABT-200511
20040614,12.19450,12.19450,12.13625,12.13625,1442,13,AABT-200511
20040621,12.03916,12.13625,12.03916,12.13625,1545,13,AABT-200511
20040625,12.13625,12.13625,12.13625,12.13625,4738,13,AABT-200511
20040629,12.13625,12.13625,12.13625,12.13625,1648,13,AABT-200511
20040701,12.62170,12.62170,12.53432,12.53432,515,13,AABT-200511
20040702,12.37897,12.57316,12.37897,12.53432,5562,13,AABT-200511
20040706,12.52461,12.52461,12.52461,12.52461,5150,13,AABT-200511
20040728,12.13625,12.13625,12.13625,12.13625,412,13,AABT-200511
20040729,12.13625,12.13625,12.13625,12.13625,206,13,AABT-200511
20040803,12.13625,12.13625,12.13625,12.13625,412,13,AABT-200511
20040812,12.23334,12.23334,12.23334,12.23334,515,13,AABT-200511
20040817,12.08770,12.08770,12.08770,12.08770,1236,12,AABT-200511
20040818,12.03916,12.03916,12.03916,12.03916,5356,12,AABT-200511
20040820,12.03916,12.03916,12.03916,12.03916,515,12,AABT-200511
20040824,12.03916,12.03916,12.03916,12.03916,3914,12,AABT-200511
20040827,12.08770,12.18480,12.08770,12.08770,6695,12,AABT-200511
20040913,12.10712,12.10712,12.10712,12.10712,309,12,AABT-200511
20040922,12.08770,12.18480,12.08770,12.18480,5047,13,AABT-200511
20040923,12.13625,12.23334,12.13625,12.23334,30899,13,AABT-200511
20040924,12.23334,12.28189,12.18480,12.28189,21217,13,AABT-200511
20040927,12.33043,12.33043,12.33043,12.33043,309,13,AABT-200511
20040929,12.75000,12.75000,12.75000,12.75000,1100,13,AABT-200511
20040930,12.75000,12.75000,12.75000,12.75000,200,13,AABT-200511
20041004,12.60000,12.60000,12.60000,12.60000,600,13,AABT-200511
20041007,12.75000,12.75000,12.75000,12.75000,200,13,AABT-200511
20041008,12.75000,13.75000,12.75000,13.50000,4300,14,AABT-200511
20041013,13.75000,13.90000,13.75000,13.90000,3700,14,AABT-200511
20041020,13.65000,13.65000,13.65000,13.65000,200,14,AABT-200511
20041101,13.50000,13.50000,13.50000,13.50000,200,14,AABT-200511
20041103,13.50000,13.50000,13.50000,13.50000,400,14,AABT-200511
20041104,13.50000,13.50000,13.50000,13.50000,900,14,AABT-200511
20041105,13.00000,14.00000,13.00000,13.91000,700,14,AABT-200511
20041108,14.00000,14.00000,13.90000,13.91000,1000,14,AABT-200511
20041112,13.99000,14.00000,13.91000,14.00000,600,14,AABT-200511
20041122,14.00000,14.00000,14.00000,14.00000,1300,14,AABT-200511
20041201,14.00000,14.10000,14.00000,14.10000,900,14,AABT-200511
20041207,14.40000,14.75000,14.40000,14.75000,2000,15,AABT-200511
20050103,14.00000,14.00000,13.80000,14.00000,1800,14,AABT-200511
20050121,13.80000,13.80000,13.60000,13.60000,600,14,AABT-200511
20050127,13.80000,13.80000,13.80000,13.80000,300,14,AABT-200511
20050131,13.70000,13.70000,13.70000,13.70000,300,14,AABT-200511
20050203,13.70000,13.70000,13.70000,13.70000,1100,14,AABT-200511
20050215,14.00000,14.00000,14.00000,14.00000,500,14,AABT-200511
20050224,14.00000,14.00000,14.00000,14.00000,1000,14,AABT-200511
20050225,14.00000,14.00000,13.40000,13.40000,1200,13,AABT-200511
20050228,13.40000,13.40000,13.40000,13.40000,500,13,AABT-200511
20050301,13.50000,13.50000,13.50000,13.50000,400,14,AABT-200511
20050315,13.75000,13.75000,13.75000,13.75000,900,14,AABT-200511
20050331,13.75000,13.75000,13.75000,13.75000,200,14,AABT-200511
20050404,13.75000,13.75000,13.75000,13.75000,1200,14,AABT-200511
20050412,13.10000,13.50000,13.00000,13.50000,1400,14,AABT-200511
20050413,14.00000,14.00000,13.00000,13.00000,900,13,AABT-200511
20050414,14.00000,14.00000,13.00000,13.00000,300,13,AABT-200511
20050418,13.00000,13.00000,13.00000,13.00000,500,13,AABT-200511
20050421,13.00000,13.00000,13.00000,13.00000,600,13,AABT-200511
20050425,12.75000,12.75000,12.75000,12.75000,100,13,AABT-200511
20050517,12.60000,12.60000,12.60000,12.60000,1100,13,AABT-200511
20050520,12.25000,12.25000,12.00000,12.00000,1200,12,AABT-200511
20050602,12.00000,12.00000,12.00000,12.00000,1000,12,AABT-200511
20050603,12.10000,12.10000,12.10000,12.10000,1000,12,AABT-200511
20050614,12.00000,12.00000,12.00000,12.00000,200,12,AABT-200511
20050630,12.00000,12.00000,11.50000,11.50000,1000,12,AABT-200511
20050712,11.51000,11.51000,11.51000,11.51000,300,12,AABT-200511
20050715,11.75000,11.75000,11.75000,11.75000,400,12,AABT-200511
20050718,11.51000,11.51000,11.51000,11.51000,10800,12,AABT-200511
20050802,11.55000,11.65000,11.55000,11.65000,2100,12,AABT-200511
20050803,19.25000,20.00000,19.25000,19.75000,10600,20,AABT-200511
20050805,20.25000,20.25000,20.25000,20.25000,1500,20,AABT-200511
20050808,20.49000,20.50000,20.49000,20.50000,2400,21,AABT-200511
20050811,20.49000,20.50000,20.49000,20.50000,2500,21,AABT-200511
20050818,20.25000,20.25000,20.02000,20.03000,3300,20,AABT-200511
20050819,20.25000,20.25000,20.25000,20.25000,1200,20,AABT-200511
20050822,20.25000,20.25000,20.25000,20.25000,2000,20,AABT-200511
20050823,20.85000,20.96000,20.65000,20.96000,16800,21,AABT-200511
20050824,20.96000,20.96000,20.96000,20.96000,5200,21,AABT-200511
20050901,20.75000,20.80000,20.75000,20.80000,6900,21,AABT-200511
20050902,20.78000,20.78000,20.78000,20.78000,6000,21,AABT-200511
20050906,21.20000,21.20000,21.20000,21.20000,1000,21,AABT-200511
20050907,20.81000,20.81000,20.81000,20.81000,300,21,AABT-200511
20050913,20.87000,20.87000,20.87000,20.87000,8800,21,AABT-200511
20050915,20.81000,21.05000,20.81000,21.05000,600,21,AABT-200511
20050919,20.95000,20.95000,20.95000,20.95000,9400,21,AABT-200511
20050926,20.75000,20.75000,20.75000,20.75000,700,21,AABT-200511
20051011,20.77000,20.77000,20.75000,20.77000,1400,21,AABT-200511
20051025,20.78000,20.78000,20.50000,20.50000,1100,21,AABT-200511
20051028,21.00000,21.00000,21.00000,21.00000,3500,21,AABT-200511
20051031,21.00000,21.00000,21.00000,21.00000,10400,21,AABT-200511
20051109,21.25000,21.25000,21.25000,21.25000,400,21,AABT-200511
20051117,21.02000,21.02000,21.02000,21.02000,900,21,AABT-200511
20051118,21.02000,21.02000,21.00000,21.00000,9000,21,AABT-200511
20051121,20.95000,20.95000,20.00000,20.00000,1400,20,AABT-200511
